Total Cases,Total Deaths,Total Recovered,Total Active Cases,New Cases,New Deaths,Province,Island,Date,Longitude,Latitude,Population Density,Population,6_Month_Period,Year
1,0,1,0,1,0,Aceh,Sumatera,2020-03-26,96.91052174,4.225614628,90.54,5247257,2020-03,2020
4,0,1,3,3,0,Aceh,Sumatera,2020-03-27,96.91052174,4.225614628,90.54,5247257,2020-03,2020
5,0,1,4,1,0,Aceh,Sumatera,2020-03-28,96.91052174,4.225614628,90.54,5247257,2020-03,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-03-29,96.91052174,4.225614628,90.54,5247257,2020-03,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-03-30,96.91052174,4.225614628,90.54,5247257,2020-03,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-03-31,96.91052174,4.225614628,90.54,5247257,2020-03,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-01,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-02,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-03,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-04,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-05,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-06,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-07,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,1,4,0,0,Aceh,Sumatera,2020-04-08,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,2,3,0,0,Aceh,Sumatera,2020-04-09,96.91052174,4.225614628,90.54,5247257,2020-04,2020
5,0,2,3,0,0,Aceh,Sumatera,2020-04-10,96.91052174,4.225614628,90.54,5247257,2020-04,2020
